experiment_id,variant,train_acc,test_acc,train_loss,test_loss
B_weakev_comp_a0p2_lam1,baseline,1.0,0.9996066863323501,,
B_weakev_comp_a0p2_lam1,embedding_keep_top10,0.8845709888418622,0.8132743362831858,1.7737491808748558,1.9219454574960053
B_weakev_comp_a0p2_lam1,embedding_remove_top10,0.0700269334359369,0.07305801376597837,4.485822747330704,4.4707713979535395
B_grok_boundary_a0p4_lam0p01,baseline,1.0,1.0,,
B_grok_boundary_a0p4_lam0p01,embedding_keep_top10,0.0,0.0,2932.9257620452313,3037.430374804789
B_grok_boundary_a0p4_lam0p01,embedding_remove_top10,0.010816125860373648,0.009370119729307652,7.857984862801131,7.885294066810906
B_memorize_fourier_control_a0p1_lam0p316228,baseline,1.0,0.9862051015096304,,
B_memorize_fourier_control_a0p1_lam0p316228,embedding_keep_top10,0.8728881737731295,0.6292729481173001,0.8965121673559433,1.5888307972871119
B_memorize_fourier_control_a0p1_lam0p316228,embedding_remove_top10,0.02815768302493966,0.032014575741801145,4.670501684432824,4.462137868663782
C_strong_ref_a0p7_lam0p031623,baseline,1.0,1.0,,
C_strong_ref_a0p7_lam0p031623,embedding_keep_top10,0.9397333930771816,0.9562727745965642,0.2798713623402406,0.2266871200633012
C_strong_ref_a0p7_lam0p031623,embedding_remove_top10,0.008401478660244203,0.008328995314940135,9.895581325438277,9.861322533023165
C_strong_ref_a0p7_lam0p031623,lm_head_keep_top10,0.9955192113812031,0.9950546590317543,0.47237814929646366,0.4546175335671119
C_strong_ref_a0p7_lam0p031623,lm_head_remove_top10,1.0,1.0,0.0006383972972134026,0.0006377241501021298
C_strong_ref_a0p7_lam0p031623,both_keep_top10,0.8885403831074269,0.9135866736074961,0.81515253715904,0.8102664182981683
C_strong_ref_a0p7_lam0p031623,both_remove_top10,0.009073596953063739,0.009370119729307652,7.0608558043715695,7.055666350126887
